id,transaction_id,timestamp_transaction,user_id,product_id,price
4065827,20190919322,2019-09-19 23:29:35,38475bee,277,59.46
4065828,20200903942,2020-09-03 05:15:59,0b183865,908,65.46
4065829,20200327824,2020-03-27 21:30:14,7bcda880,654,44.68
4065830,20181222806,2018-12-22 13:21:33,7f66b2ae,732,34.3
4065831,20181215222,2018-12-15 21:07:44,dd73c124,438,33.32
4065832,20180731197,2018-07-31 13:31:36,a8107d0e,850,342.6
4065833,20190713357,2019-07-13 00:34:43,519ab220,134,118.33
4065834,20190419604,2019-04-19 23:08:24,1395adf5,151,58.51
4065835,20180105126,2018-01-05 22:16:11,a604fd56,573,86.62
4065836,20180316596,2018-03-16 23:07:50,0bb42fb0,175,87.81
4065837,20200204359,2020-02-04 23:36:46,56c096b6,168,46.14
4065838,20180406391,2018-04-06 00:36:32,fef51b7d,747,438.1
4065839,20180223897,2018-02-23 21:51:28,04e16704,94,51.48
4065840,20190718443,2019-07-18 01:13:49,ee37d894,0,85.62
4065841,20200903964,2020-09-03 18:35:03,8f8c24e2,801,67.12
4065842,20190906801,2019-09-06 23:45:58,c83be624,59,52.9
4065843,20180928813,2018-09-28 22:04:40,7656d42c,551,16.06
4065844,20200717636,2020-07-17 13:55:36,4fda0e52,497,420.74
4065845,20200803685,2020-08-03 00:13:26,2594181f,91,85.24
4065846,20200523690,2020-05-23 20:23:49,4031f691,148,68.73
4065847,20190801625,2019-08-01 11:45:05,cd09b4ae,771,65.31
4065848,20200213059,2020-02-13 20:33:47,4342e306,627,51.3
4065849,20170616236,2017-06-16 01:01:15,f9833b8b,195,137.61
4065850,20200113272,2020-01-13 06:32:37,2d52154c,605,52.8
4065851,20200827168,2020-08-27 02:11:03,67bb7c2a,380,28.7
4065852,20200806832,2020-08-06 18:45:17,1e9539d9,459,41.83
4065853,20200904467,2020-09-04 22:57:15,4debe2ec,824,5.9
4065854,20190315742,2019-03-15 22:14:54,b53d135c,213,155.02
4065855,20181207796,2018-12-07 10:06:42,d685edb9,639,67.72
4065856,20180913497,2018-09-13 21:13:49,0fbf90e8,734,79.24
4065857,20181001455,2018-10-01 00:07:46,5b71da0a,503,220.38
4065858,20200423626,2020-04-23 22:53:53,bc49342f,390,130.3
4065859,20190823101,2019-08-23 11:25:46,57c1956a,904,123.16
4065860,20180713367,2018-07-13 22:34:15,b201b2a7,542,60.45
4065861,20190915941,2019-09-15 19:03:10,b13da60b,265,257.54
4065862,20190725692,2019-07-25 06:39:45,1ea478b3,438,16.66
4065863,20190302887,2019-03-02 00:33:23,f106cbe7,21,100.52
4065864,20180223145,2018-02-23 22:54:46,63a3ffc8,990,33.14
4065865,20191107886,2019-11-07 22:44:54,404a6d33,90,65.13
4065866,20200228782,2020-02-28 16:40:53,725ef89f,946,27.22
4065867,20180324422,2018-03-24 01:25:45,e8503f4a,662,174.86
4065868,20190419961,2019-04-19 08:24:41,00a67a27,823,80.39
4065869,20200129684,2020-01-29 19:57:11,b3652964,193,90.2
4065870,20180307416,2018-03-07 07:12:42,4ad1f1e0,108,65.7
4065871,20200710425,2020-07-10 23:49:11,9d0e4dea,383,88.43
4065872,20200327762,2020-03-27 23:55:54,04639651,552,53.15
4065873,20190612502,2019-06-12 20:44:44,d73d8046,158,142.39
4065874,20200731145,2020-07-31 20:49:36,63a3ffc8,185,38.36
4065875,20190806896,2019-08-06 20:21:16,31bc571d,365,228.59
4065876,20200501023,2020-05-01 19:29:31,32665771,692,86.55
4065877,20200624947,2020-06-24 22:48:46,ac41e00c,133,116.34
4065878,20191115453,2019-11-15 14:57:47,78ca42ef,997,61.89
4065879,20200628260,2020-06-28 20:43:22,5462113c,796,54.1
4065880,20180315066,2018-03-15 21:19:05,f3821a09,691,226.2
4065881,20200711182,2020-07-11 00:41:05,23f2857d,489,234.1
4065882,20200724512,2020-07-24 08:31:18,f1156e7c,460,80.48
4065883,20200124071,2020-01-24 20:14:39,d58311b6,191,31.24
4065884,20180309199,2018-03-09 22:40:22,ea2578f8,299,30.61
4065885,20190111177,2019-01-11 16:38:22,e1576d47,896,85.3
4065886,20200805997,2020-08-05 21:53:46,aa36bb9d,976,208.5
